//* The part before the ";" is the title, after it the description

0;見知らぬ人;<ret>あなたのような肌色は見たことがないので、警戒しているんだ。
4*64;顔見知り;<ret>警告しよう。我々の戦士はあなたを見張っている。
8*64;馴染みの顔;<ret>村の建築家が、あなたの石材は質が良いと褒めていました。<ret>見張る必要はなさそうですね。
16*64;常連;<ret>やぁ、$name！何か変わったことはあるかい？
32*64;鉱夫仲間;<ret>私たちと同じように、あなたは石の切り出し方を知っているようだ。<ret>友だちになれそうだね。
64*64;お気に入りの商人;<ret>こんにちは、いつだってあなたの商品は歓迎しますよ。
2*64*64;村の友人;<ret>$nameさんは私たちを明るい時代へ導いてくれるでしょう。
4*64*64;尊敬すべき味方;$nameさんは私たちにたくさんの資材を提供し、<ret>様々な依頼を完遂してくれました。<ret>この村にとって貴重な味方です。
8*64*64;仲間;<ret>$nameさん、祈祷師があなたを私たちの一員と認めてくれましたよ。
32*64*64;生まれながらの指導者;<ret>$name、あなたは我々の信頼と尊敬を勝ち取りました。<ret>これから我々は全てあなたに従います。
4*32*64*64;偉大なる石神;<ret>あなたもこの世界の人ではないのでしょう。<ret>ですが、私たちのために山全体を切り崩して石に変えてくれました。<ret>あなたは神様に違いない！
-64;迷惑者;<ret>この土地から出ていけ。<ret>我々の文化を冒涜するな！
-4*64;嫌われ者;<ret>お前は我々に腐臭と無秩序をもたらす！
-16*64;敵;<ret>お前は我々の生活と石材をめちゃくちゃにした！<ret>絶対に許さぬ！
