//* Dialogue lines start with a code like "v2;30;" which specify who is speaking and when the line shows up. Please copy it exactly in your translations.
//* First half of the line (till the /) is in the villagers' language and must be kept as-is, second part should be translated

newchat;key:sun,tag:notraining,weigth:18
v1;0;Latreuo tis ilióloustes méres! / 晴れてる日は大好き！
v2;30;Se poion den aresoun? / 誰が嫌うのさ

newchat;key:nicevillage,weigth:10
v1;0;Einai panta mia efcharistisi na doume oraio chorio mas, etsi den einai? / 私たちの村は美しいと思わない？
v2;30;Fysika, kai einai ola logo ton terastion prospatheion mas! / もちろん、みんなの努力の賜物だね！

newchat;key:sunZombie,tag:notraining,weigth:2
v1;0;latreuo tis ilióloustes méres! / 晴れてる日は大好き！
v2;30;Se poion den aresoun? / 誰が嫌うのさ
v1;60;Se emena. / そんなのわからないよ
v2;120;Giatí óchi? / 君はどうなの？
v1;150;O ílios kaíei! Misó tin kapsa! / 日差しで燃えちゃう！外にいるのは大嫌い！
v2;180;Fainesai psofios! / まるでゾンビだね！
v1;210;Ísos eímai ... / 私ってもしかして...

newchat;key:nothomeyet,weigth:6
v1;0;Einai panta efxaristo na xazeueis to xorio mas, etsi den einai? / 私たちの素敵な小さな村を見るのはいつも楽しいよね？
v2;30;Fysiká eínai! Éxoume ksodépsei tóso polý chróno douleuontas se aftó to méros. / もちろんです！私たちは長い時間をかけてここを作ってきたのよ
v1;60;Eínai sxedón san tin mitropoli, ópos prin erthoume edó. / 元の世界にあった我が家にそっくりだもんなぁ
v2;90;Aftó eínai to spíti mas tóra, aplá prépei na to apodextoúme. / 今はここが私たちの家なの。受け入れるしかないわ
v1;120;Kséro, tha to dextó me ton kairó ... / わかってる、そのうち受け入れるよ...

newchat;key:ishome,weigth:6
v1;0;Einai panta efxaristo na xazeueis to xorio mas, etsi den einai? / 私たちの素敵な小さな村を見るのはいつも楽しいよね？
v2;30;Fysiká eínai! Éxoume ksodépsei tóso polý chróno douleuontas se aftó to méros. / もちろんです！私たちは長い時間をかけてここを作ってきたのよ
v1;60;Eínai schedón san sto spíti, akrivós ópos prin írthame edó. / 元の世界にあった我が家にそっくりだもんなぁ
v2;90;Aftó eínai to spíti mas tóra, aplá prépei na to apodextoúme. / 今はここが私たちの家なの。受け入れるしかないわ
v1;120;Pragmati einai, aftí i syzítisi me ékane na to syneiditopoiíso. / そうだね、今の会話で思い知ったよ

//newchat;key:goodharvest1,v1:adult,v2:adult,v2:notvtype:pastor_byzantine-metropolit_byzantine,building:farm,building:vineyard,notbuilding:taverna,weigth:24
//v1;0;To sitári kai ta stafýlia mas afksánontai polý fétos. / 今年は小麦もブドウも順調に育っています
//v2;30;Nai, oi agrótes anaféroun proodo, kai dokimásate kai to krasí? / 農家からは記録的な収穫だったと聞いていますし、今年のワインはもう飲まれましたか？
//v1;60;Den éxoume tavérna gia na kánoume krasí ... / うーん、ワインを作る醸造所がないですからねぇ...
//v2;120;A..., tóte ti epina exthes ?!/ なんと...では昨日何を飲んでいたんだですか！？

//newchat;key:goodharvest1withtavern,v1:adult,v2:adult,v2:notvtype:pastor_byzantine-metropolit_byzantine,building:farm,building:vineyard,building:taverna,weigth:14
//v1;0;To sitári kai ta stafýlia mas afksánontai polý fétos. / 今年は小麦もブドウも順調に育っています
//v2;30;Nai, oi agrótes anaféroun proodo, kai dokimásate kai to krasí? / 農家からは記録的な収穫だったと聞いていますし、今年のワインはもう飲まれましたか？
//v1;60;Ego exo! To eksairetikó romaïkó mas krasí éxei kalýteri géfsi apó poté!/ 飲みましたよ！今年のローマワインは今まで以上に芳醇な味わいでしたね
//v2;90;Kséro, den eínai katapliktikó? Eíxa pénte olóklira boukália exthes. To kalýtero krasí pou ipia poté! / やっぱりそうですよね？昨日は５本も飲んでしまいました。今まで飲んだワインの中で最高の出来です
//v1;120;Pénte olóklira boukália? Amartaneis antrope mou! Akómi kai an eínai mia exairetikí epochí, kindynéveis na gíneis methystakas me toso poly krasi!/ えっ5本も？ちょっと落ち着いてください！せっかくのいい季節なのに、そんなにワインを飲んだら酔っぱらって倒れますよ！
//v2;150;Tha eímai kalá ótan o ponokéfalos aftós perasei ... / この頭痛が治まれば大丈夫...

//newchat;key:cider,v1:adult,v2:adult,notbuilding:vineyard,weigth:2
//v1;0;Xreiazómaste mia tavérna gia na ftiáksoume to krasí ./ 今すぐにワインを作る醸造所を建てるべきです
//v2;30;Pos? Giatí? Entaksei, to krasí eínai kaló, allá éna olókliro ktírio, mono gia to krasí? Prépei na váloume proteraiótites sti seira! / えっ何だって？どうして？確かにワインはいいですよ。でもワインのためだけの施設というのは...優先順位が間違ってませんか！
