//* The part before the ";" is the title, after it the description

0;見知らぬ人;<ret>私たちはよそ者に馴れていないんだ。
4*64;顔見知り;<ret>今のところ、大きな過ちは犯していないみたいですね。
8*64;馴染みの顔;<ret>同胞の多くがあなたに好印象を抱いているようです。<ret>どうかそのままでいてください。<ret>そうすれば、お互いの利益になるでしょう。
16*64;常連;<ret>Namaste(こんにちは)、$name-ji！<ret>どんな知らせを持ってきたんだい？
32*64;良き隣人;まだ完璧ではありませんが、$name-jiは良き隣人だと認めましょう。<ret>これからの付き合いが楽しみだよ。
64*64;お気に入りの取引相手;<ret>おかえり、$name。<ret>今日は何をもってきたんだい？
2*64*64;村の友人;<ret>$name-ji、私たちはみな、君を真の友人だと思っているよ。
4*64*64;尊敬すべき味方;<ret>$name-jiはこの村の味方だ！<ret>避難が必要なら、この村へ泊まりにおいで。
8*64*64;仲間;<ret>よそ者を村に受け入れるなんて想像できなかったよ。<ret>君はもう私たちの一員だ！
32*64*64;生まれながらの指導者;<ret>$name-ji、あなたは我々の信頼と尊敬を勝ち取りました。<ret>これから我々は全てあなたに従います。
4*32*64*64;偉大なるRajput;<ret>インドの人々は、あなたが彼らと共に生き、困難を分かち合えたことを非常に喜んでいます。<ret>お気づきかもしれませんが、私たちは他に5つの素晴らしい文化を実装しました。<ret>他の文化も、ひどく残念なメッセージではなく素敵な報酬をあなたに与えてくれることでしょう。
-64;迷惑者;<ret>我々はよそ者が好きではない。特にあなたのような人は御免だ。
-4*64;嫌われ者;<ret>誰があなたを育てたのか知らないが、ひどく残念な仕事をしたものだ。<ret>すぐに立ち去る事を願う。
-16*64;敵;<ret>毎朝女神に祈っているんですよ。お前の顔を見なくて済みますようにってね。
